qid,query
1,"apple"
2,"bacon"
3,"baking soda"
4,"barbecue ribs"
5,"beef"
6,"buffalo chicken"
7,"chicken"
8,"chicken wings"
9,"Chinese fried rice"
10,"egg"
11,"ham"
12,"ice-cream"
13,"lettuce"
14,"lobster"
15,"meatballs"
16,"noodle"
17,"orange"
18,"orange juice"
19,"pie"
20,"pizza"
21,"pumpkin"
22,"pumpkin pie"
23,"rice"
24,"roasted beef"
25,"salmon"
26,"steak"
27,"sugar"
28,"tomato"
29,"turkey"
30,"waffles"
